q_code,name,q_num,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35
1,身体活動,4,"普段行っている運動(球技，ランニング，スイミングなど)の頻度とその時間，種類
(※misfit装着者は初回を除いて，1日で行った運動の時間と種類を回答して下さい)",1日の生活活動時間(労働，家事，趣味，通勤通学など),1日の睡眠時間(昼寝を除く),1日の余暇時間(テレビ鑑賞，ネットサーフィン，携帯をいじっている時間，昼寝など),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PANAS,16,びくびくした,活気のある,おびえた,誇らしい,うろたえた,心配した,強気な,気合の入った,ぴりぴりした,きっぱりとした,苦悩した,わくわくした,機敏な,熱狂した,恥じた,いらだった,,,,,,,,,,,,,,,,,,,
3,WHO-5,5,明るく、楽しい気分で過ごした,落ち着いた、リラックスした気分で過ごした,意欲的で、活動的に過ごした,ぐっすりと休め、気持よくめざめた,日常生活の中に、興味のあることがたくさんあった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,自己開示の深さを測る尺度,24,好きなもの(音楽・映画・服装など),「少しダメだな」と前から思っているところ(時間にルーズ，など),自分の性格のすごく嫌いなところ(人の成功を素直に喜べない，など),休日の過ごし方,直さなければならないと思っているが，なかなか直らないささいな欠点 (時間にルーズ，など),困難な状況を誰かに助けてもらった経験,最近の楽しかったできごと,ささいな欠点かもしれないが(時間にルーズ，など)，ときどき落ち込んでしまうこと,自分の性格のすごく嫌な部分が出てしまったこと,ある経験を通して「自分は少しダメだな」と思ったこと(遅刻した，など),自分の能力についてひどく気にやんでいること,最近夢中になっていること,能力不足が原因で，目標達成できなかった経験,ささいな欠点(時間にルーズ，など)について他者から心配された経験,困難な状況を乗り越えるために頑張ってきたこと,趣味にしていること,つらい経験をどのように乗り越えてきたかということ,能力で劣等感を抱いているところ,楽しみにしているイベント,ささいな欠点について日頃思い悩んでいること,能力に限界を感じて失望した経験,これから趣味としてやってみたいこと,過去のつらい経験が現在どのように役に立っているかということ,自分のせいで人をひどく傷つけてしまった経験,,,,,,,,,,,
5,成人用エフォートフル・コントロール,35,何かに集中しようとしている時でも，気を散らすような考えの侵入を阻止するのは難しい,通常，周囲で起きている複数の出来事を憶えておくのはとても得意だ,何かのことで悲しい時，課題に集中し続けるのは難しい,中断させられたり注意をそらされたりした時，たいていはそれまで自分がやっていたことに注意を向けなおすことができる,たいてい，責任は少しでも早く果たそうとする,自分がそう望むなら，秘密を守るのはたいてい簡単だ, 時間どおりに物事を終わらせることはめったにない,しばしば，ふたつの異なる課題を交互にやるのは難しい,何かの結果について不安になっている時，課題に集中し続けるのはとても苦労する,笑い声が適切でないような状況で，笑いを抑えるのは簡単だ,もし車や部屋，洗濯物などを掃除したり洗ったりする必要があるのに気づいても，よくそれを明日まで延期してしまう,事態がどうなるか心配な時，たいていその事態に対処することを避けてしまう,たいてい，実際の期限が来る前に物事(お金の支払い，宿題など)を終わらせる,店で魅力的な品物を見かけた時，それを買うのを我慢するのは通常とても難しい,今日中に仕事をやり遂げる充分な時間がある時でさえ，しばしば明日やってしまおうと考えることがある,とりわけ気分がいい時，複数のことを同時に憶えておくことを必要とする課題に集中するのはとても苦労する,面倒な行動計画でも決定したらすぐに，実行に移す,心悩ませている時，集中するのはとても難しい,興奮していてアイデアを表現したい時でも，順番を外れてしゃべることは簡単に我慢できる,何か勉強しようとしている時，周囲の騒音を無視して集中するのは難しい,望ましくないと信じているのに習慣となっている行動パターンをやめようと決意した時には，たいてい成功する,何かに興奮している時は，起こり得る結果を考える前にそれにすぐ飛びつくのを抑えるのはたいてい難しい,良い報せを聞くと，責任を果たす事に集中できなくなってしまう,活力に溢れていると感じられる時でも，必要ならば普通たいした苦もなくじっと座っていられる,しばしば，楽しい活動にふけって責任から逃れることがある,近いうちにおこる出来事について嬉しくて興奮している時，集中力を要する課題に集中するのはとても苦労する,やる必要のあることを思いついたら，たいていすぐにそれに取りかかる,時々，快への衝動(お菓子を食べる，など)を抑えようとすればするほど，そう行動してしまいやすいように思える,約束の時間によく遅れる,食べたり飲んだりすることへの渇望を我慢することはたいてい難しい,最後まで実行しない計画をよく立てる,不適切なおふざけをしないでいるのは簡単だ,気乗りしない時でも，面倒な課題に取り組むことができる,集中しようと努力しても，簡単に気が散ってしまう,課題を，やりたくない時でもやり続けることができる
6,TIPI-J,10,活発で，外向的だと思う,他人に不満をもち，もめごとを起こしやすいと思う,しっかりしていて，自分に厳しいと思う,心配性で，うろたえやすいと思う,新しいことが好きで，変わった考えをもつと思う,ひかえめで，おとなしいと思う,人に気をつかう，やさしい人間だと思う,だらしなく，うっかりしていると思う,冷静で，気分が安定していると思う,発想力に欠けた，平凡な人間だと思う,,,,,,,,,,,,,,,,,,,,,,,,,
7,TAC-24,24,悪い面ばかりでなく，良い面を見つけていく,誰かに話を聞いてもらって冷静さを取り戻す,そのことをあまり考えないようにする,友だちとお酒を飲んだり好物を食べたりする,原因を検討し，どのようにしていくべきか考える,詳しい人から自分に必要な情報を収集する,対処できない問題だと考え，諦める,責任を他の人に押しつける,今後は良いこともあるだろうと考える,誰かに話を聞いてもらい，気を静めようとする,嫌なことを頭に浮かべないようにする,スポーツや旅行などを楽しむ,過ぎたことの反省をふまえて，次にすべきことを考える,既に経験した人から話を聞いて参考にする,どうすることもできないと，解決をあと延ばしにする,自分は悪くないと言いのがれをする,悪いことばかりではないと，楽観的に考える,誰かに愚痴をこぼして，気持ちをはらす,無理にでも忘れるようにする,買い物や賭け事，おしゃべりなどで時間を潰す,どのような対策をとるべきか精密に考える,力のある人に教えを受けて解決しようとする,自分では手におえないと考え，放棄する,口からでまかせを言って逃げ出す,,,,,,,,,,,
8,信頼感,24,これまで出会ったほとんどの人は私によくしてくれた,無理をしなくてもこの先の人生でも，私は信頼できる人と出会えるような気がする,私は多少のことがあっても，今の信頼関係を保っていけると思う,これまでの経験から，他人もある程度は信頼できると感じる,今心から頼れる人にもいつか裏切られるかもしれないと思う,私の地位や立場が変われば，私自身も今とは全く違う人間になるだろう,私は現実に信頼できる特定の他人がいる,所詮，周りは敵ばかりだと感じる,周りのほとんどの人は私を信頼してくれているだろう,自分自身について，今は実現していないことでも，いつかこうなるだろうと信じられることは多い,相手が自分を大切にしてくれるのは，そうすることによって相手に利益があるときだ,私は自分の人生に対し，何とかやっていけそうな気がする,人は自分のためなら簡単に相手を裏切ることができるだろう,私は私で，決して他人にとってかわることの出来ない存在であると思う,今は何かと話せても，他人など全く当てにならないものである,私は，自分自身を，ある程度は信頼できる,気をつけていないと，人は私の弱みにつけこもうとするだろう,私は，自分自身が，信頼に値する人間だと思う,私はなぜか人に対して疑(うたぐ)り深くなってしまう,一般的に，人間は信頼できるものだと思う,自分で自分をしっかり守っていないと，壊れてしまいそうな気がする,過去に，誰かに裏切られたりだまされたりしたので，信じるのが怖くなっている,状況が許せば，たいてい人間はお互いに正直に，かつ誠実に関わりあいたいと思っているだろう,私は，自分自身の行動をある程度はコントロールすることができるという確信をもっている,,,,,,,,,,,
9,生きがい意識尺度,9,自分は幸せだと感じることが多い,何か新しいことを学んだり，始めたいと思う,自分は何か他人や社会のために役立っていると思う,こころにゆとりがある,色々なものに興味がある,自分の存在は，何かや，誰かのために必要だと思う,生活がゆたかに充実している,自分の可能性を伸ばしたい,自分は誰かに影響を与えていると思う,,,,,,,,,,,,,,,,,,,,,,,,,,
10,二次元レジリエンス要因,21,どんなことでも，たいてい何とかなりそうな気がする,自分から人と親しくなることが得意だ,嫌な出来事が，どんな風に自分の気持ちに影響するか理解している,困難な出来事が起きても，どうにか切り抜けることができると思う,つらいことでも我慢できる方だ,自分の考えや気持ちがよくわからないことが多い,人との誤解が生じたときは積極的に話をしようとする,決めたことを最後までやりとおすことができる,嫌な出来事があったとき，今の経験から得られるものを探す,交友関係が広く，社交的である,思いやりを持って人と接している,昔から，人との関係をとるのが上手だ,自分は体力がある方だ,自分の性格についてよく理解している,嫌な出来事があったとき，その問題を解決するために情報を集める,人の気持ちや，微妙な表情の変化を読み取るのが上手だ,たとえ自信がないことでも，結果的に何とかなると思う,他人の考え方を理解するのが比較的得意だ,嫌なことがあっても，自分の感情をコントロールできる,自分は粘り強い人間だと思う,努力することを大事にする方だ,,,,,,,,,,,,,,
